                                Installed Skills
┏━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━━┳━━━━━━━━━┓
┃ Name                  ┃ Category             ┃ Source   ┃ Trust    ┃ Status  ┃
│ github-repo-manageme… │ github               │ builtin  │ builtin  │ enabled │
│ native-mcp            │ mcp                  │ local    │ local    │ enabled │
│ gif-search            │ media                │ builtin  │ builtin  │ enabled │
│ heartmula             │ media                │ builtin  │ builtin  │ enabled │
│ songsee               │ media                │ builtin  │ builtin  │ enabled │
│ spotify               │ media                │ local    │ local    │ enabled │
│ youtube-content       │ media                │ builtin  │ builtin  │ enabled │
│ audiocraft-audio-gen… │ mlops                │ builtin  │ builtin  │ enabled │
│ axolotl               │ mlops                │ official │ official │ enabled │
│ dspy                  │ mlops                │ official │ official │ enabled │
│ evaluating-llms-harn… │ mlops                │ builtin  │ builtin  │ enabled │
│ fine-tuning-with-trl  │ mlops                │ local    │ local    │ enabled │
│ huggingface-hub       │ mlops                │ builtin  │ builtin  │ enabled │
│ llama-cpp             │ mlops                │ builtin  │ builtin  │ enabled │
│ obliteratus           │ mlops                │ builtin  │ builtin  │ enabled │
│ outlines              │ mlops                │ official │ official │ enabled │
│ segment-anything-mod… │ mlops                │ builtin  │ builtin  │ enabled │
│ serving-llms-vllm     │ mlops                │ builtin  │ builtin  │ enabled │
│ unsloth               │ mlops                │ official │ official │ enabled │
│ weights-and-biases    │ mlops                │ builtin  │ builtin  │ enabled │
│ obsidian              │ note-taking          │ builtin  │ builtin  │ enabled │
│ airtable              │ productivity         │ builtin  │ builtin  │ enabled │
│ google-workspace      │ productivity         │ builtin  │ builtin  │ enabled │
│ linear                │ productivity         │ local    │ local    │ enabled │
│ maps                  │ productivity         │ builtin  │ builtin  │ enabled │
│ nano-pdf              │ productivity         │ builtin  │ builtin  │ enabled │
│ notion                │ productivity         │ builtin  │ builtin  │ enabled │
│ ocr-and-documents     │ productivity         │ builtin  │ builtin  │ enabled │
│ powerpoint            │ productivity         │ builtin  │ builtin  │ enabled │
│ teams-meeting-pipeli… │ productivity         │ builtin  │ builtin  │ enabled │
│ godmode               │ red-teaming          │ builtin  │ builtin  │ enabled │
│ arxiv                 │ research             │ builtin  │ builtin  │ enabled │
│ blogwatcher           │ research             │ builtin  │ builtin  │ enabled │
│ llm-wiki              │ research             │ builtin  │ builtin  │ enabled │
│ polymarket            │ research             │ builtin  │ builtin  │ enabled │
│ research-paper-writi… │ research             │ builtin  │ builtin  │ enabled │
│ openhue               │ smart-home           │ builtin  │ builtin  │ enabled │
│ xurl                  │ social-media         │ builtin  │ builtin  │ enabled │
│ debugging-hermes-tui… │ software-development │ local    │ local    │ enabled │
│ hermes-agent-skill-a… │ software-development │ builtin  │ builtin  │ enabled │
│ hermes-s6-container-… │ software-development │ local    │ local    │ enabled │
│ node-inspect-debugger │ software-development │ builtin  │ builtin  │ enabled │
│ plan                  │ software-development │ builtin  │ builtin  │ enabled │
│ python-debugpy        │ software-development │ builtin  │ builtin  │ enabled │
│ requesting-code-revi… │ software-development │ builtin  │ builtin  │ enabled │
│ spike                 │ software-development │ builtin  │ builtin  │ enabled │
│ subagent-driven-deve… │ software-development │ local    │ local    │ enabled │
│ systematic-debugging  │ software-development │ builtin  │ builtin  │ enabled │
│ test-driven-developm… │ software-development │ builtin  │ builtin  │ enabled │
│ writing-plans         │ software-development │ local    │ local    │ enabled │
└───────────────────────┴──────────────────────┴──────────┴──────────┴─────────┘
9 hub-installed, 76 builtin, 11 local — 96 enabled, 0 disabled
